company	firm_id	gvkey	year
allegiancebank.com	2142	26270	2016
servisfirstbank.com	4555	16549	2016
ricemidstream.com	390	22159	2016
target.com	1220	3813	2016
five-starbank.com	12442	121713	2016
great-ajax.com	8765	22853	2016
abiomed.com	3714	13619	2016
synthesisenergy.com	5983	160592	2016
swseedco.com	4974	184259	2016
stateauto.com	6863	24233	2016
radisys.com	10050	61439	2016
pembina.com	10925	130618	2016
labcorp.com	7240	14960	2016
techtarget.com	10148	177111	2016
orionlighting.com	10011	179058	2016
starwoodpropertytrust.com	1558	183388	2016
columbiabank.com	923	25376	2016
energyfuels.com	12363	107712	2016
bhge.com	735791	1976	2016
aradigm.com	4574	63081	2016
elbitsystems.com	8243	65380	2016
milesci.com	10028	61496	2016
smpcorp.com	953	10000	2016
hosthotels.com	5932	7063	2016
easterncompany.com	5012	4186	2016
glpg.com	935	272872	2016
box.com	9751	20088	2016
albint.com	11347	14084	2016
centurylink.com	3004	2884	2016
ielp.com	8227	13709	2016
humana.com	444308	27914	2016
novabay.com	833127	177228	2016
nuvasive.com	10667	264385	2016
amtechsystems.com	2595	8864	2016
ucbi.com	9116	64794	2016
unifirst.com	12504	10840	2016
synopsys.com	10611	24975	2016
atossagenetics.com	8625	185659	2016
alaskacommunications.com	12194	126555	2016
nrchealth.com	5111	65587	2016
ingles-markets.com	569468	12972	2016
altramotion.com	7622	176247	2016
nationalbankshares.com	770	25481	2016
